name,version,scope,license
"tinyrainbow","3.1.1","development","MIT"
"tldts","7.4.10","development","MIT"
"tldts-core","7.4.10","development","MIT"
"toad-cache","3.7.4","production","MIT"
"toidentifier","1.0.1","production","MIT"
"tough-cookie","6.0.2","development","BSD-3-Clause"
"tr46","6.0.0","development","MIT"
"tree-kill","1.2.2","development","MIT"
"ts-api-utils","2.5.0","development","MIT"
"tslib","2.8.1","production","0BSD"
"tsx","4.23.11","development","MIT"
"type-check","0.4.0","development","MIT"
"typescript","5.9.3","development","Apache-2.0"
"typescript","6.0.3","development","Apache-2.0"
"typescript-eslint","8.66.0","development","MIT"
"undici","7.29.0","development","MIT"
"undici","8.10.0","development","MIT"
"undici-types","7.18.2","development","MIT"
"unenv","2.0.0-rc.24","development","MIT"
"update-browserslist-db","1.3.0","development","MIT"
"uri-js","4.4.1","development","BSD-2-Clause"
"util-deprecate","1.0.2","production","MIT"
"vite","8.2.1","development","MIT"
"vitest","4.1.10","development","MIT"
"w3c-xmlserializer","5.0.0","development","MIT"
"webidl-conversions","8.0.1","development","BSD-2-Clause"
"whatwg-mimetype","5.0.0","development","MIT"
"whatwg-url","16.0.1","development","MIT"
"whatwg-url","17.1.0","development","MIT"
"which","2.0.2","development","ISC"
"why-is-node-running","2.3.0","development","MIT"
"word-wrap","1.2.5","development","MIT"
"workerd","1.20260811.1","development","Apache-2.0"
"wrangler","4.123.0","development","MIT OR Apache-2.0"
"wrap-ansi","9.0.2","development","MIT"
"ws","8.21.0","development","MIT"
"xml-name-validator","5.0.0","development","Apache-2.0"
"xmlchars","2.2.0","development","MIT"
"y18n","5.0.8","development","ISC"
"yallist","3.1.1","development","ISC"
"yargs","18.0.0","development","MIT"
"yargs-parser","22.0.0","development","ISC"
"yocto-queue","0.1.0","development","MIT"
"youch","4.1.0-beta.10","development","MIT"
"youch-core","0.3.3","development","MIT"
"zod","4.4.3","production","MIT"
"zod-validation-error","4.0.2","development","MIT"
"zustand","5.0.14","production","MIT"
